day,link,name,interactions,stance
2023-03-11 5:45:52,https://www.facebook.com/37816894428/posts/10160698237239429,ZEIT ONLINE,975,nuanced_accurate
2023-03-12 0:47:50,https://www.facebook.com/100064731758845/posts/593243836176670,Just Facts,167,nuanced_accurate
2023-03-13 14:15:07,https://www.facebook.com/215982125159841/posts/6275782342513092,Süddeutsche Zeitung,387,nuanced_accurate
2023-03-14 6:51:31,https://www.facebook.com/100050221460998/posts/733413738342668,Enrico Bucci,544,nuanced_accurate
2023-03-14 12:00:23,https://www.facebook.com/208046455335/posts/10160672592090336,BR24,171,nuanced_accurate
2023-03-16 17:36:31,https://www.facebook.com/100064392895690/posts/597534095736348,FactCheck.org,167,nuanced_accurate
2023-03-16 21:00:12,https://www.facebook.com/131929868907/posts/10160499457623908,Collective Evolution,202,misleading
2023-03-17 1:35:45,https://www.facebook.com/100064349097299/posts/585184453636519,The Raw Story,106,nuanced_accurate
2023-03-22 18:20:20,https://www.facebook.com/100064420647158/posts/599788305511852,MASS-VOLL,163,misleading
2023-03-24 17:47:45,https://www.facebook.com/100068487459772/posts/521975730095338,雪行者2,157,misleading
2023-03-29 15:44:59,https://www.facebook.com/100044147213802/posts/787105819437651,Congressman Greg Steube,138,misleading
